CKAN metadata,,,,,Organisation,Group,Created date,Custom Field (Year),Tags,Dataset,Dataset,Dataset,Dataset
,logi_id,Title,File name,Catalog number,Program areas,1st level of doc hiererachy,Insert time,Publication year,,Dataset,Type,Metadata,Notes
,1,Test MS Word document,1.docx,51,Sexual and Reproductive Health,nrrp,17/11/2015,2022,Report,Test report,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,2,Test PDF document,2.pdf,51,Sexual and Reproductive Health,nrrp,17/11/2015,2022,Report,Test report,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,3,Test XLSX document,3.xlsx,51,Mental Health and Psychosocial Support,Refugee-response,17/11/2015,2023,Data,Test data,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,4,Test CSV document,4.csv,51,Mental Health and Psychosocial Support,Refugee-response,17/11/2015,2023,Data,Test data,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,5,Test ZIP file,5.zip,51,HIV & TB,Refugee-response,17/11/2015,2021,Data,Test ZIP dataset,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,6,Family Doctor 1 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor1,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,7,Family Doctor 2 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor2,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,8,Family Doctor 3 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor3,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,9,Family Doctor 4 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor4,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
