file,sheet,report_date
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD BETCU,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD CAMENCEAN,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD CRISTIAN,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD DUMITRESCU,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD LACATUS,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD NECULAU,12-16.06.2023
./data/2306/16.06 WEEKLY REPORT 12-16.06 .xlsx,FD SERBAN,12-16.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD BETCU,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD CAMENCEAN,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD CRISTIAN,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD DUMITRESCU,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD LACATUS,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD NECULAU,26-30.06.2023
./data/2306/30.06 WEEKLY REPORT 26-30.06 .xlsx,FD SERBAN,26-30.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD BETCU,19-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD CAMENCEAN,19-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD CRISTIAN,01-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD DUMITRESCU,19-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD LACATUS,19-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD NECULAU,19-23.06.2023
./data/2306/23.06 WEEKLY REPORT 19-23.06 .xlsx,FD SERBAN,19-23.06.2023
./data/2306/09.06 WEEKLY REPORT 05-09.06.23.xlsx,FD BETCU,05-09.06.2023
./data/2306/09.06 WEEKLY REPORT 05-09.06.23.xlsx,FD CAMENCEAN,05-09.06.2023
./data/2306/09.06 WEEKLY REPORT 05-09.06.23.xlsx,FD CRISTIAN,05-09.06.2023
